# ---
# domain: UConstRange
# op: SmulSat
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 46]
# - [16, 230]
# - [24, 6]
# - [32, 9929]
# - [48, 3]
# - [56, 2]
# - [64, 12795]
# - [128, 374]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 9]	[10, 10]	[0, 90]	340
8	[0, 1]	[33, 33]	[0, 33]	178
8	[0, 255]	[33, 33]	[0, 223]	42
8	[0, 15]	[250, 250]	[0, 250]	37
8	[0, 7]	[10, 10]	[0, 70]	31
8	[0, 1]	[0, 1]	[0, 1]	30
8	[0, 1]	[0, 255]	[0, 255]	20
8	[0, 12]	[3, 3]	[0, 36]	16
8	[1, 1]	[7, 7]	[7, 7]	16
8	[0, 11]	[5, 5]	[0, 55]	12
8	[0, 10]	[5, 5]	[0, 50]	12
8	[1, 4]	[0, 255]	[0, 255]	10
8	[0, 15]	[7, 7]	[0, 105]	10
8	[0, 1]	[3, 3]	[0, 3]	9
8	[0, 3]	[6, 6]	[0, 18]	9
8	[1, 4]	[7, 7]	[7, 28]	6
8	[0, 15]	[6, 6]	[0, 90]	6
8	[1, 9]	[10, 10]	[10, 90]	6
8	[0, 3]	[3, 3]	[0, 9]	6
8	[0, 2]	[30, 30]	[0, 60]	6
8	[248, 255]	[3, 3]	[232, 253]	5
8	[0, 31]	[3, 3]	[0, 93]	5
8	[0, 2]	[21, 21]	[0, 42]	5
8	[0, 1]	[7, 7]	[0, 7]	4
8	[0, 3]	[10, 10]	[0, 30]	4
8	[0, 15]	[3, 3]	[0, 45]	3
8	[0, 1]	[10, 10]	[0, 10]	3
8	[0, 10]	[3, 3]	[0, 30]	2
8	[128, 255]	[7, 7]	[128, 249]	2
8	[1, 127]	[7, 7]	[7, 127]	2
8	[1, 128]	[0, 31]	[0, 128]	2
8	[1, 128]	[0, 255]	[0, 255]	2
8	[0, 0]	[10, 10]	[0, 0]	2
8	[0, 3]	[9, 9]	[0, 27]	2
8	[0, 2]	[7, 7]	[0, 14]	2
8	[1, 4]	[1, 4]	[1, 16]	2
8	[0, 2]	[6, 6]	[0, 12]	2
8	[0, 3]	[15, 15]	[0, 45]	2
8	[1, 3]	[3, 3]	[3, 9]	2
8	[0, 10]	[10, 10]	[0, 100]	2
8	[0, 255]	[10, 10]	[0, 246]	1
8	[0, 0]	[3, 3]	[0, 0]	1
8	[1, 7]	[3, 3]	[3, 21]	1
8	[0, 0]	[250, 250]	[0, 0]	1
8	[128, 255]	[254, 254]	[2, 127]	1
8	[253, 255]	[254, 254]	[2, 6]	1
16	[0, 22]	[27, 27]	[0, 594]	904
16	[0, 255]	[5, 5]	[0, 1275]	570
